1	['Period', 'Inst_sector', 'Inst_sector_code', 'Descriptor', 'SNA08TRANS', 'Asset_liability_code', 'Values']

2	['2007.03', 'Non-corporate business enterprises', '121', 'Closing balance total assets', 'LE00000', 'A000000', '345973']

3	['2007.03', 'Non-corporate business enterprises', '121', 'Financial assets Closing balance total financial and non-financial assets', 'LE00000', 'AFA0000', '99770']

4	['2007.03', 'Non-corporate business enterprises', '121', 'Financial assets Closing balance monetary gold and special drawing rights', 'LE00000', 'AFA0100', '0']

5	['2007.03', 'Non-corporate business enterprises', '121', 'Financial assets Closing balance currency and deposits', 'LE00000', 'AFA0200', '14773']

6	['2007.03', 'Non-corporate business enterprises', '121', 'Financial assets Closing balance debt securities', 'LE00000', 'AFA0300', '1267']

7	['2007.03', 'Non-corporate business enterprises', '121', 'Financial assets Closing balance loans', 'LE00000', 'AFA0400', '21229']

8	['2007.03', 'Non-corporate business enterprises', '121', 'Financial assets Closing balance equity and investment fund shares', 'LE00000', 'AFA0500', '58890']

9	['2007.03', 'Non-corporate business enterprises', '121', 'Financial assets Closing balance insurance, pension and standardised guarantee schemes', 'LE00000', 'AFA0600', '285']

10	['2007.03', 'Non-corporate business enterprises', '121', 'Financial assets Closing balance financial derivatives and employee stock options', 'LE00000', 'AFA0700', '0']

11	['2007.03', 'Non-corporate business enterprises', '121', 'Financial assets Closing balance other accounts receivable', 'LE00000', 'AFA0800', '3326']

12	['2007.03', 'Non-corporate business enterprises', '121', 'Financial liabilities Closing balance total financial liabilities', 'LE00000', 'AFL0000', '345973']

13	['2007.03', 'Non-corporate business enterprises', '121', 'Financial liabilities Closing balance monetary gold and special drawing rights', 'LE00000', 'AFL0100', '0']

14	['2007.03', 'Non-corporate business enterprises', '121', 'Financial liabilities Closing balance currency and deposits', 'LE00000', 'AFL0200', '0']

15	['2007.03', 'Non-corporate business enterprises', '121', 'Financial liabilities Closing balance debt securities', 'LE00000', 'AFL0300', '4613']

16	['2007.03', 'Non-corporate business enterprises', '121', 'Financial liabilities Closing balance loans', 'LE00000', 'AFL0400', '62585']

17	['2007.03', 'Non-corporate business enterprises', '121', 'Financial liabilities Closing balance equity and investment fund shares', 'LE00000', 'AFL0500', '270629']

18	['2007.03', 'Non-corporate business enterprises', '121', 'Financial liabilities Closing balance insurance, pension and standardised guarantee schemes', 'LE00000', 'AFL0600', '0']

19	['2007.03', 'Non-corporate business enterprises', '121', 'Financial liabilities Closing balance financial derivatives and employee stock options', 'LE00000', 'AFL0700', '0']

20	['2007.03', 'Non-corporate business enterprises', '121', 'Financial liabilities Closing balance other accounts payable', 'LE00000', 'AFL0800', '8146']

21	['2007.03', 'Non-corporate business enterprises', '121', 'Financial assets Closing balance produced non-financial assets', 'LE00000', 'AN10000', '91764']

22	['2007.03', 'Non-corporate business enterprises', '121', 'Financial assets Closing balance non-produced non-financial assets', 'LE00000', 'AN20000', '154439']

23	['2007.03', 'Non-corporate business enterprises', '121', 'Closing balance net worth', 'LE00000', 'B900000', '0']

24	['2007.03', 'Non-corporate business enterprises', '121', 'Closing balance total liabilities and net worth', 'LE00000', 'L000000', '345973']

25	['2007.03', 'Corporate business enterprises', '141', 'Closing balance total assets', 'LE00000', 'A000000', '567352']

26	['2007.03', 'Corporate business enterprises', '141', 'Financial assets Closing balance total financial and non-financial assets', 'LE00000', 'AFA0000', '194836']

27	['2007.03', 'Corporate business enterprises', '141', 'Financial assets Closing balance monetary gold and special drawing rights', 'LE00000', 'AFA0100', '0']

28	['2007.03', 'Corporate business enterprises', '141', 'Financial assets Closing balance currency and deposits', 'LE00000', 'AFA0200', '21420']

29	['2007.03', 'Corporate business enterprises', '141', 'Financial assets Closing balance debt securities', 'LE00000', 'AFA0300', '1915']

30	['2007.03', 'Corporate business enterprises', '141', 'Financial assets Closing balance loans', 'LE00000', 'AFA0400', '33187']

31	['2007.03', 'Corporate business enterprises', '141', 'Financial assets Closing balance equity and investment fund shares', 'LE00000', 'AFA0500', '80739']

32	['2007.03', 'Corporate business enterprises', '141', 'Financial assets Closing balance insurance, pension and standardised guarantee schemes', 'LE00000', 'AFA0600', '1036']

33	['2007.03', 'Corporate business enterprises', '141', 'Financial assets Closing balance financial derivatives and employee stock options', 'LE00000', 'AFA0700', '1869']

34	['2007.03', 'Corporate business enterprises', '141', 'Financial assets Closing balance other accounts receivable', 'LE00000', 'AFA0800', '54670']

35	['2007.03', 'Corporate business enterprises', '141', 'Financial liabilities Closing balance total financial liabilities', 'LE00000', 'AFL0000', '583116']

36	['2007.03', 'Corporate business enterprises', '141', 'Financial liabilities Closing balance monetary gold and special drawing rights', 'LE00000', 'AFL0100', '0']

37	['2007.03', 'Corporate business enterprises', '141', 'Financial liabilities Closing balance currency and deposits', 'LE00000', 'AFL0200', '0']

38	['2007.03', 'Corporate business enterprises', '141', 'Financial liabilities Closing balance debt securities', 'LE00000', 'AFL0300', '14306']

39	['2007.03', 'Corporate business enterprises', '141', 'Financial liabilities Closing balance loans', 'LE00000', 'AFL0400', '170960']

40	['2007.03', 'Corporate business enterprises', '141', 'Financial liabilities Closing balance equity and investment fund shares', 'LE00000', 'AFL0500', '347521']

41	['2007.03', 'Corporate business enterprises', '141', 'Financial liabilities Closing balance insurance, pension and standardised guarantee schemes', 'LE00000', 'AFL0600', '0']

42	['2007.03', 'Corporate business enterprises', '141', 'Financial liabilities Closing balance financial derivatives and employee stock options', 'LE00000', 'AFL0700', '2031']

43	['2007.03', 'Corporate business enterprises', '141', 'Financial liabilities Closing balance other accounts payable', 'LE00000', 'AFL0800', '48298']

44	['2007.03', 'Corporate business enterprises', '141', 'Financial assets Closing balance produced non-financial assets', 'LE00000', 'AN10000', '209773']

45	['2007.03', 'Corporate business enterprises', '141', 'Financial assets Closing balance non-produced non-financial assets', 'LE00000', 'AN20000', '162744']

46	['2007.03', 'Corporate business enterprises', '141', 'Closing balance net worth', 'LE00000', 'B900000', '-15763']

47	['2007.03', 'Corporate business enterprises', '141', 'Closing balance total liabilities and net worth', 'LE00000', 'L000000', '567352']

48	['2007.03', 'Central bank', '211', 'Closing balance total assets', 'LE00000', 'A000000', '20719']

49	['2007.03', 'Central bank', '211', 'Financial assets Closing balance total financial and non-financial assets', 'LE00000', 'AFA0000', '20663']

50	['2007.03', 'Central bank', '211', 'Financial assets Closing balance monetary gold and special drawing rights', 'LE00000', 'AFA0100', '0']

51	['2007.03', 'Central bank', '211', 'Financial assets Closing balance currency and deposits', 'LE00000', 'AFA0200', '446']

52	['2007.03', 'Central bank', '211', 'Financial assets Closing balance debt securities', 'LE00000', 'AFA0300', '15368']

53	['2007.03', 'Central bank', '211', 'Financial assets Closing balance loans', 'LE00000', 'AFA0400', '4313']

54	['2007.03', 'Central bank', '211', 'Financial assets Closing balance equity and investment fund shares', 'LE00000', 'AFA0500', '102']

55	['2007.03', 'Central bank', '211', 'Financial assets Closing balance insurance, pension and standardised guarantee schemes', 'LE00000', 'AFA0600', '0']

56	['2007.03', 'Central bank', '211', 'Financial assets Closing balance financial derivatives and employee stock options', 'LE00000', 'AFA0700', '395']

57	['2007.03', 'Central bank', '211', 'Financial assets Closing balance other accounts receivable', 'LE00000', 'AFA0800', '39']

58	['2007.03', 'Central bank', '211', 'Financial liabilities Closing balance total financial liabilities', 'LE00000', 'AFL0000', '20719']

59	['2007.03', 'Central bank', '211', 'Financial liabilities Closing balance monetary gold and special drawing rights', 'LE00000', 'AFL0100', '0']

60	['2007.03', 'Central bank', '211', 'Financial liabilities Closing balance currency and deposits', 'LE00000', 'AFL0200', '13531']

61	['2007.03', 'Central bank', '211', 'Financial liabilities Closing balance debt securities', 'LE00000', 'AFL0300', '0']

62	['2007.03', 'Central bank', '211', 'Financial liabilities Closing balance loans', 'LE00000', 'AFL0400', '5182']

63	['2007.03', 'Central bank', '211', 'Financial liabilities Closing balance equity and investment fund shares', 'LE00000', 'AFL0500', '1609']

64	['2007.03', 'Central bank', '211', 'Financial liabilities Closing balance insurance, pension and standardised guarantee schemes', 'LE00000', 'AFL0600', '0']

65	['2007.03', 'Central bank', '211', 'Financial liabilities Closing balance financial derivatives and employee stock options', 'LE00000', 'AFL0700', '0']

66	['2007.03', 'Central bank', '211', 'Financial liabilities Closing balance other accounts payable', 'LE00000', 'AFL0800', '397']

67	['2007.03', 'Central bank', '211', 'Financial assets Closing balance produced non-financial assets', 'LE00000', 'AN10000', '42']

68	['2007.03', 'Central bank', '211', 'Financial assets Closing balance non-produced non-financial assets', 'LE00000', 'AN20000', '14']

69	['2007.03', 'Central bank', '211', 'Closing balance net worth', 'LE00000', 'B900000', '0']

